mstyle,top_issue,issues,n_accounts,top_accounts,beg_inv_w1,effective_w1,w2_beg,w2_rcv,carry_est,avg_demand_wk,man_26w,ai_26w,lt_wks,opt_wos,current_wos,stockout_wk,next_rcpt,moq,pipeline
BB0492,OVERSTOCK,OVERSTOCK,1,13032-BB0492,7878,7878,7878,0,,12.0,312,96,13.1,0.0,655.5,,2026-08-28,5016,7878
BB36316,OVERSTOCK,OVERSTOCK,1,1864-BB36316,5826,5826,5826,0,,15.0,300,807,10.3,4.0,388.4,,2026-08-08,5004,5826
BB34683,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB34683,5376,5376,5376,0,,13.2,290,156,12.4,4.0,407.8,,2026-08-23,5000,9108
FF18908/24KL,OVERSTOCK,OVERSTOCK,1,11169-FF18908/24KL,1968,1968,1632,0,,288.0,288,4656,15.1,4.0,11.0,,2026-09-11,2400,3168
BB0100PCS2,OVERSTOCK,OVERSTOCK,1,1864-BB0100PCS2,5976,5976,5976,0,,10.0,250,690,14.3,4.0,597.6,,2026-09-05,5000,5976
BB34682,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB34682,5105,5105,5105,0,,10.0,250,198,12.4,4.0,510.5,,2026-08-23,5000,8765
FF7488PX3,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-FF7488PX3,2234,2234,2234,0,,10.0,250,50,3.0,4.0,298.4,,2026-06-18,48,2984
FF13881AU,OVERSTOCK,OVERSTOCK; MISMATCH,1,1884-FF13881AU,209,209,3053,2844,,9.4,236,162,11.7,0.0,22.1,,2026-08-18,2004,3053
FF25688,OVERSTOCK,OVERSTOCK,1,1864-FF25688,1117,1117,1117,0,,9.0,225,1200,14.4,4.0,124.1,,2026-09-06,2400,3405
BB36086,OVERSTOCK,OVERSTOCK,2,"1864-BB36086, 2659-BB36086",19980,19980,19980,0,,10.0,220,528,16.4,0.0,1998.0,,2026-09-20,5000,19980
BB36089,OVERSTOCK,OVERSTOCK,1,1864-BB36089,7188,7188,7188,0,,10.0,220,468,12.1,0.0,718.8,,2026-08-21,5000,9588
BB36134,OVERSTOCK,OVERSTOCK,1,1864-BB36134,1032,1032,1032,0,,10.0,220,318,18.9,0.0,103.2,,2026-10-07,5000,15840
BB36137,OVERSTOCK,OVERSTOCK,1,1864-BB36137,1854,1854,1854,0,,10.0,220,384,10.3,0.0,185.4,,2026-08-08,5004,10458
FF8433,OVERSTOCK,OVERSTOCK,2,"3102-FF8433, 2342-FF8433",3699,3699,3675,0,,8.0,208,192,13.7,4.0,461.4,,2026-09-01,2000,3699
BB29489/12,OVERSTOCK,OVERSTOCK,1,1864-BB29489/12,9612,9612,9612,0,,14.3,200,624,9.6,0.0,672.8,,2026-08-03,5000,9612
BB12021,OVERSTOCK,OVERSTOCK,2,"15339-BB12021, 4651-BB12021",7783,7783,7783,0,,7.0,182,90,13.1,0.0,1110.9,,2026-08-28,4800,7783
BB0190,OVERSTOCK,OVERSTOCK,1,1864-BB0190,8550,8550,8550,0,,168.0,168,168,14.9,0.0,50.9,,2026-09-09,5000,8550
BB21488,OVERSTOCK,OVERSTOCK,1,1864-BB21488,9684,9684,7980,0,,84.0,168,168,15.0,0.0,115.3,,2026-09-10,5000,13248
BB35514,OVERSTOCK,OVERSTOCK,1,1864-BB35514,8202,8202,8202,0,,5.0,125,42,8.9,4.0,1640.4,,2026-07-29,5000,8202
BB36318,OVERSTOCK,OVERSTOCK,1,1864-BB36318,5586,5586,5586,0,,5.0,125,150,10.3,4.0,1117.2,,2026-08-08,5004,5586
BB26587PCS10,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB26587PCS10,2695,2695,2695,0,,5.0,110,26,15.3,4.0,989.0,,2026-09-12,2500,4945
FF19993,OVERSTOCK,OVERSTOCK,1,1864-FF19993,6376,6376,6376,0,,4.0,100,2496,14.6,0.0,1594.0,,2026-09-07,5000,6376
FF26536,OVERSTOCK,OVERSTOCK,1,1864-FF26536,2810,2810,2810,0,,4.0,100,300,14.4,4.0,702.5,,2026-09-06,2400,2810
BB21489,OVERSTOCK,OVERSTOCK,1,1864-BB21489,5016,5016,3804,0,,24.0,48,48,15.0,0.0,209.0,,2026-09-10,5000,10464
FF7267AMZN,OVERSTOCK,OVERSTOCK,1,1864-FF7267AMZN,2484,2484,2484,0,,10.0,40,660,16.0,4.0,248.4,,2026-09-17,5000,5484
FF31064,OVERSTOCK,OVERSTOCK,2,"16553-FF31064, 6478-FF31064",6225,6225,6225,0,,24.0,24,48,17.4,6.0,259.4,,2026-09-27,5000,6225
