key,cust,model,ai_total,man_total,delta_pct,abs_gap,man_shape,ai_shape,status_cust,rule_fires
1864-FF12837PCS2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,282,500,-43.6,-218,FLAT,VARIABLE,A,F15|F37|F47|F6b|F71|F_PO_CUTOFF|VP-Q1
6111-FF33868,"FINNEYS IMPORTERS AND",Sparse Intermittent,1128,910,24.0,218,FLAT,SPARSE,A,F17|F61|VP-Q3
13825-FF8654,"MILLS FLEET FARM",Croston's,284,500,-43.2,-216,FLAT,SPARSE,A,F61|VP-Q3
16553-FF7297CA,"PETSMART INC",Heuristic,384,600,-36.0,-216,FLAT,BACK_LOADED,A: NEW 12/20,F10|F34|F37|F64|M1|R9|VP-Q4
1864-BB28480PCS12,"AMAZON.COM.KYDC,INC",Seasonal Baseline,909,1125,-19.2,-216,FLAT,FLAT,A,F15|F37|F43|F66|VP-Q1|VP-Q4
21025-FF10162,"TROPICAL REPS AND DISTRIBUTORS",Sparse Intermittent,3234,3450,-6.3,-216,SPARSE,SPARSE,A,F37|F64|R2
23651-FF33872,"WINNERS APPAREL",Sparse Intermittent,1080,864,25.0,216,SPARSE,SPARSE,A,F10|F34|F37|M1
3102-FF20208,"CHEWY.COM",Seasonal Baseline,4056,3840,5.6,216,FLAT,FLAT,A,F16|F37|F64|F66|VP-Q1|VP-Q4
13032-BB12479,"MID-STATES DISTRIBUTING CO",Sparse Intermittent,306,520,-41.2,-214,FLAT,SPARSE,A: NEW 3/26,F10|F34|F37|M1|R2
13032-BB16316,"MID-STATES DISTRIBUTING CO",Sparse Intermittent,306,520,-41.2,-214,FLAT,SPARSE,A: NEW 3/26,F10|F34|F37|M1|R2
20595-FF15482,"TRACTOR SUPPLY COMPANY",Croston's,288,500,-42.4,-212,FLAT,SPARSE,FD,F52|F61|R6|VP-Q3
16852-FF7267,"PET BRANDS LIMITED",Sparse Intermittent,1410,1200,17.5,210,SPARSE,SPARSE,A,F37|F64
11393-BB35100,"KRASDALE FOODS",Sparse Intermittent,2028,1820,11.4,208,FLAT,SPARSE,A,F37|F64
23011-FF7217,"WAL MART STORES",Croston's,312,520,-40.0,-208,FLAT,FLAT,A,F35|F64|VP-Q3
3102-FF11926,"CHEWY.COM",Croston's,624,832,-25.0,-208,FLAT,FLAT,A,F35|F47|F64
3102-SF8168PS,"CHEWY.COM",Croston's,1248,1040,20.0,208,FLAT,FLAT,A,F64|VP-Q3
1864-BB16854PCS2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,1110,1315,-15.6,-205,FLAT,FLAT,A,F15|F35|F37|F38b|F43|VP-Q1|VP-Q4
23011-FF26756,"WAL MART STORES",Croston's,420,625,-32.8,-205,FLAT,VARIABLE,FD,F47|F52|F64|VP-Q3|VP-Q4
14182-BB15065,"NASH FINCH COMPANY",Sparse Intermittent,1092,1296,-15.7,-204,SPARSE,SPARSE,A,F37|F64|VP-Q3
16851-SF8170,"PIED FRENCHIE INC.",Sparse Intermittent,576,780,-26.2,-204,FLAT,SPARSE,A,F10|F17|F34|F64|M1
1864-BB21949,"AMAZON.COM.KYDC,INC",Seasonal Baseline,3498,3702,-5.5,-204,FLAT,FLAT,A,F15|F16|F37|F38|F38b|F59i|F59j|F59m|F66|VP-Q1|VP-Q4
19790-FF4936,"KANE VETERINARY SUPPLIES LTD",Sparse Intermittent,576,780,-26.2,-204,FLAT,SPARSE,A,F17|F64|VP-Q3
23651-SF8170,"WINNERS APPAREL",Sparse Intermittent,1296,1500,-13.6,-204,FLAT,SPARSE,A,F37
3102-FF10530,"CHEWY.COM",Croston's,396,600,-34.0,-204,FLAT,VARIABLE,A,F35|F37|F47|F64|R6|VP-Q4
1864-FF7488PX2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,657,860,-23.6,-203,FLAT,FLAT,A,F10|F15|F34|F37|F38b|F43|F49|F59a|M1|VP-Q1|VP-Q4
12002-FF12656,"HOME SENSE",Sparse Intermittent,708,910,-22.2,-202,FLAT,SPARSE,A,F64
13825-BB35096,"MILLS FLEET FARM",Sparse Intermittent,720,520,38.5,200,FLAT,SPARSE,A,F17|F37|VP-Q3
