key,mstyle,cust,desc,pattern,model,manual,ai,gap_pct,l13_nz_avg,l52_peak,bucket
1864-BB13603,BB13603,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,999,1452,
1864-BB13603PCS2,BB13603PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,214,423,
1864-BB13603PCS6,BB13603PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,76,109,
1864-BB13609,BB13609,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,12,34,
1864-BB13610,BB13610,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,24,98,
1864-BB13611,BB13611,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,51,252,
1864-BB14500,BB14500,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,168,714,
1864-BB14500CLR/9,BB14500CLR/9,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,2640,
1864-BB14500PCS6,BB14500PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,2,
1864-BB14572,BB14572,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,168,
1864-BB14647,BB14647,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,633,1820,
1864-BB14647PCS12,BB14647PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,5,
1864-BB14658,BB14658,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,730,1700,
1864-BB14658PCS10,BB14658PCS10,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,24,
1864-BB14694,BB14694,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,688,1900,
1864-BB14694PCS5,BB14694PCS5,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,28,74,
1864-BB14812,BB14812,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1067,2700,
1864-BB14812PCS10,BB14812PCS10,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,11,
1864-BB14812PCS5,BB14812PCS5,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,40,286,
1864-BB15065,BB15065,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,336,756,
1864-BB15065PCS12,BB15065PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,16,30,
1864-BB15065PX12,BB15065PX12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,2,
1864-BB15067,BB15067,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,229,1212,
1864-BB15067PCS12,BB15067PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,31,57,
1864-BB15067PX12,BB15067PX12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,12,
1864-BB15068,BB15068,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,118,1596,
